reference,edition_id,sender_id,sender,receiver_id,receiver,date,place_id,place
https://edition-humboldt.de/H0016608,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1852-09-29,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0016452,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/119074117,Hermann Schlagintweit-Sakünlünski,1852-10-30,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0019715,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/119074117,Hermann Schlagintweit-Sakünlünski,1853-02-28,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016610,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1853-05-05,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016563,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1853-06-07,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016516,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1853-06-27,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016611,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1853-07-02,http://sws.geonames.org/2852458,Potsdam
https://edition-humboldt.de/H0019729,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118750321,Johann Moritz Rugendas,1854-02-11,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019728,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118750321,Johann Moritz Rugendas,1854-02-25,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0019720,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118750321,Johann Moritz Rugendas,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1854-02-26,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016541,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1854-05-05,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016543,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1854-05-05,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016517,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1854-05-06,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016518,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1854-08-08,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016450,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,1854-09-04,http://sws.geonames.org/2950159,
https://edition-humboldt.de/H0016441,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118755234,Adolph von Schlagintweit,http://d-nb.info/gnd/118554700,Alexander von Humboldt,1854-11-10,http://sws.geonames.org/1275339,Bombay
https://edition-humboldt.de/H0016615,#d238c5bd-a978-475e-8784-58ce7ec82010,http://d-nb.info/gnd/118554700,Alexander von Humboldt,http://d-nb.info/gnd/118529250,Christian Gottfried Ehrenberg,1854-11-13,http://sws.geonames.org/2950159,
